no,Time 秒,UserID/MemID,設置點,緯度,經度,BPL UID
160,2/2/2022 7:08:23 PM,Ucdfa0f2c4d63746185972bd203584c33,夏天茶飲,23.57184,119.57075,229453
161,2/2/2022 7:08:41 PM,Ud6016814bc5cf8d901a6914526d3f1ca,澎漁宴餐廳,23.56625705,119.5690162,229458
162,2/2/2022 7:17:32 PM,U549d83ded5aae205862d9454360f140e,澎湖樂法Le Phare,23.5652,119.56654,229487
163,2/2/2022 7:19:15 PM,U549d83ded5aae205862d9454360f140e,好享吃小火鍋,23.56745,119.56641,229492
164,2/2/2022 7:23:34 PM,U549d83ded5aae205862d9454360f140e,鯨 鯊威瑪,23.5667,119.56479,229505
165,2/2/2022 7:25:45 PM,U549d83ded5aae205862d9454360f140e,三ㄚ店&潮style,23.56705,119.56538,229513
166,2/2/2022 7:26:31 PM,U3bef99915c174d00c8771be3302bef5d,金醬府,23.56734,119.5729,229519
167,2/2/2022 7:28:47 PM,U549d83ded5aae205862d9454360f140e,藝創空間,23.5772,119.5706,229530
168,2/2/2022 7:34:09 PM,U549d83ded5aae205862d9454360f140e,秋喜肉蛋吐司,23.56867,119.5675,229553
169,2/2/2022 7:35:34 PM,U549d83ded5aae205862d9454360f140e,澎湖甘草芭樂,23.56577,119.56529,229559
170,2/2/2022 7:44:11 PM,U549d83ded5aae205862d9454360f140e,MOS BURGER 澎湖店,23.56297,119.56518,229587
171,2/2/2022 7:54:19 PM,Ua5d612b844f3c29bede3e6e5528797f5,打勾勾民宿,23.58607,119.5828,229608
172,2/2/2022 8:14:29 PM,U7f8cc11658910a8d1e4cbb29fdd94e25,ㄇㄇ的臭豆腐,23.55258,119.61097,229667
173,2/2/2022 8:40:30 PM,U7a89fa99cb80c8496590501db322b56c,妮可沙龍,23.56905,119.5709,229725
174,2/2/2022 9:10:44 PM,U3bef99915c174d00c8771be3302bef5d,天津蔥抓餅,23.57431,119.5792,229794
175,2/2/2022 9:42:35 PM,U8f52791ff4dff75591e39c111c4859e1,元太、百世多麗站,23.56323772,119.5838793,229852
176,2/2/2022 9:58:11 PM,U50284f2fcdf83512e9e4968a77e2a672,6號香q雞蛋仔,23.57223,119.57733,229878
177,2/2/2022 10:11:09 PM,U30edaf2003e2b0a69fa35c19403c7eb0,紫光複合式餐飲,23.56601,119.56687,229901
178,2/2/2022 10:32:12 PM,U16884c894357fdf20860f6ecee558d7f,小螞蟻牛排,23.56836,119.56831,229940
179,2/2/2022 10:40:53 PM,U16884c894357fdf20860f6ecee558d7f,晴天餐飲店,23.56892806,119.5708262,229963
180,2/2/2022 11:56:36 PM,Udf84da45a09c16e48b52336fd5d9d179,綠果昔民宿,23.57823,119.58066,230043
181,2/3/2022 1:55:41 AM,Ub7e7400468a94c97e7aa9a4e08c88981,敲好吃～蔥抓餅,23.56605,119.56615,230148
182,2/3/2022 7:05:33 AM,U7a89fa99cb80c8496590501db322b56c,6號香q雞蛋仔,23.57223,119.57733,230309
183,2/3/2022 9:28:18 AM,Ub830fb93efdd9a78c5c3a5364e8a6599,台灣大餅早午餐,23.56718,119.56441,230458
184,2/3/2022 10:27:27 AM,Ua5d612b844f3c29bede3e6e5528797f5,媽宮食品工廠,23.56186091,119.5803374,230580
185,2/3/2022 10:39:56 AM,Ua5d612b844f3c29bede3e6e5528797f5,萬泰食品,23.57515,119.56779,230605
186,2/3/2022 10:40:02 AM,U9d74e50af944020a75cdc3d1928eddee,原豆工坊咖啡專賣店,23.56409,119.56508,230607
187,2/3/2022 10:47:32 AM,Ua5d612b844f3c29bede3e6e5528797f5,金自成商會,23.56358,119.56365,230613
188,2/3/2022 10:51:19 AM,U1f10a3bbd5ee032879ed912cde775468,白灣景觀餐廳,23.56154,119.64737,230627
189,2/3/2022 11:08:36 AM,Ud6016814bc5cf8d901a6914526d3f1ca,鮮食堂海鮮蒸鍋,23.56566,119.56462,230653
